2h,20h,40h,60h,material,heatsink,StableOrNot
1.0001,0.99921,1.0038,1.0039,1,1,1
1.0001,0.99869,0.99193,0.99255,2,0,0
1.0001,0.99921,1.0017,1.0023,1,1,1
1.0027,0.99729,1.0021,0.99947,1,1,1
1.0001,0.9987,0.99379,0.99638,2,0,0
1.0025,0.99371,0.99655,0.99833,2,0,0
1.0027,0.99678,1.0023,1.0017,1,1,1
1.0001,0.99888,0.99958,0.9956,2,0,0
1.0001,0.99975,1.0133,0.99734,1,1,1
1.0001,0.99913,1.006,1.0032,1,0,1
1.0001,0.99896,1.0002,1.0021,1,1,1
1.0023,0.98949,0.9972,0.99816,2,0,0
1.0026,0.99756,1.0076,1.0019,1,1,1
1.0001,0.99895,1.0009,0.99832,2,0,0
1.0001,0.9987,0.99179,1.0021,1,1,1
1.0029,0.99973,1.0051,1.0003,1,1,1
1.0024,0.98809,0.9948,0.99756,2,0,0
1.0025,0.99805,1.0076,1.002,1,1,1
1.0001,0.99937,1.0055,1.0031,1,1,1
1.0025,0.99364,0.99148,0.98705,2,0,0
1.0023,0.98898,0.99579,0.99892,1,0,0
1.0023,0.99539,0.99693,0.99389,2,0,0
1.0001,0.99904,0.99632,1.0005,1,1,1
1.0001,0.99962,1.0085,1.0035,1,1,1
1.0028,0.99834,1.0061,1.0012,1,1,1
1.0001,0.99928,1.0006,1.0027,1,1,1
1.0001,0.99929,1.0043,1.0039,2,1,1
1.0001,0.99927,1.0059,1.0034,1,1,1
1.0001,0.99898,1.0011,0.99455,2,0,0
1.0024,0.98883,0.99272,0.99023,2,0,0
1.0029,1.0004,1.0065,1.0053,1,1,1
1.0027,0.99879,1.0065,1.0052,1,1,1
1.0001,0.99865,0.9937,0.99666,2,0,0
1.0001,0.99855,0.98965,0.99367,1,0,0
1.0024,0.99116,0.99946,0.99677,1,1,1
1.0001,0.99873,0.99684,0.99489,2,0,0
1.0027,0.99628,0.99646,0.99939,1,1,1
1.0025,0.9921,0.9947,0.99457,2,0,0
1.0001,0.99867,0.99176,1.0021,1,1,1
1.0026,0.99762,1.0042,1.004,1,1,1
1.0001,0.99972,1.004,1.0049,1,1,1
1.0025,0.99394,0.9982,0.9916,2,0,0
1.0024,0.98853,0.98776,0.98937,2,0,0
1.0001,0.9988,0.99182,1.0017,1,1,1
1.0001,0.99857,0.98961,0.99981,1,1,1
1.0025,0.99328,0.99288,0.99277,2,0,0
1.0001,0.99857,0.98796,0.99087,2,0,0
1.0025,0.99767,1.0069,1.0044,1,0,1
1.0001,0.99925,1.0018,1.0029,1,1,1
1.0029,1.0021,1.0035,1.001,1,1,1
1.0026,0.99627,0.99927,0.99969,1,1,1
1.0024,0.99458,1.0012,0.99715,1,0,0
1.0001,0.99891,1.0007,0.9969,2,0,0
1.0024,0.99154,0.99045,0.98912,2,0,0
1.0001,0.99928,0.99743,1.0047,1,1,1
1.0023,0.99156,0.99422,0.9902,2,0,0
1.0001,0.99945,0.99939,1.0043,1,1,1
1.0001,0.99862,0.99042,0.99188,2,0,0
1.0027,0.99475,0.99986,0.99992,1,1,1
1.0028,0.99629,0.99776,0.99405,2,0,0
1.0001,0.9997,1.0059,1.0047,1,1,1
1.0028,0.99812,1.0012,0.99834,1,1,1
1.0024,0.99091,0.98926,0.98562,2,0,0
1.0026,0.9941,0.99608,0.99499,1,0,0
1.0023,0.99178,0.99865,1.0025,1,0,1
1.0001,0.99971,1.004,1.0047,1,0,1
1.0023,0.98811,0.99035,0.9899,2,0,0
1.0027,0.99992,1.0007,1.0032,1,1,1
1.0001,0.9997,1.0108,1.003,1,1,1
1.0027,0.99521,0.99986,0.99358,2,0,0
1.0001,0.99924,0.9967,1.0036,1,1,1
1.0001,0.99947,1.0064,1.004,1,1,1
1.0024,0.98964,0.99097,0.98565,2,0,0
1.0001,0.99864,0.99345,0.99342,2,0,0
1.0028,0.99831,1.0006,0.99511,2,0,0
1.0001,0.99867,0.99365,0.99025,2,0,0
1.0001,0.99857,0.99412,0.99593,2,0,0
1.0001,0.99878,0.99844,1.0017,1,1,1
1.0026,0.99361,0.9993,0.99828,1,1,1
1.0023,0.98902,0.99117,0.99204,2,0,0
1.0025,0.99147,0.99844,0.99229,2,0,0
1.0001,0.9986,0.98995,0.99356,1,0,0
1.0028,0.99716,0.99742,0.99124,2,0,0
