neff,"Aeff
(um^2)","dispersion
(ps/km.nm)","conf-loss
(dB/cm)"
1.44611,0.959662,190.473,1.21E-16
1.4478,0.949689,188.197,3.95E-17
1.44932,0.940641,185.748,1.39E-17
1.34216,2.6839,191.018,0.00759125
1.36298,2.25503,50.4641,0.000183259
1.37972,2.01199,36.456,5.44E-06
1.3931,1.85565,89.5291,2.05E-07
1.40385,1.74617,121.654,9.82E-09
1.41256,1.66486,141.018,5.93E-10
1.4197,1.60186,152.53,4.45E-11
1.4256,1.55149,159.104,4.09E-12
1.43053,1.51022,162.503,4.56E-13
1.4347,1.47576,163.82,6.05E-14
1.43824,1.44652,163.75,9.47E-15
1.44128,1.4214,162.747,1.72E-15
1.44391,1.39956,161.109,3.59E-16
1.4462,1.3804,159.045,8.48E-17
1.44819,1.36345,156.697,2.24E-17
1.44995,1.34835,154.166,6.58E-18
1.45151,1.33481,151.524,2.09E-18
1.45289,1.32259,148.822,7.20E-19
1.45413,1.31151,146.098,2.68E-19
1.45523,1.30142,143.379,1.14E-19
1.36691,2.98169,28.7922,7.17E-05
1.38519,2.64596,53.2413,1.29E-06
1.39929,2.43711,95.1698,3.21E-08
1.41026,2.29377,118.322,1.10E-09
1.41892,2.18876,130.935,5.11E-11
1.42586,2.10821,137.478,3.14E-12
1.43149,2.04434,140.413,2.50E-13
1.43612,1.99238,141.149,2.53E-14
1.43997,1.94925,140.511,3.17E-15
1.4432,1.91285,139.009,4.84E-16
1.44594,1.88172,136.961,8.80E-17
1.44829,1.85477,134.575,1.87E-17
1.45031,1.83122,131.989,4.57E-18
1.45206,1.81046,129.294,1.26E-18
1.45359,1.79202,126.554,3.70E-19
1.45494,1.77553,123.809,1.37E-19
1.45612,1.7607,121.091,3.94E-20
1.45718,1.74728,118.418,1.44E-20
1.45812,1.73509,115.804,4.77E-21
1.45896,1.72396,113.257,7.09E-21
1.38591,3.44263,43.2192,9.40E-07
1.40157,3.14445,89.6542,1.44E-08
1.41336,2.94767,109.241,3.36E-10
1.4224,2.80723,118.795,1.15E-11
1.42947,2.70156,122.966,5.59E-13
1.43509,2.61899,124.137,3.76E-14
1.43963,2.55261,123.578,3.37E-15
1.44335,2.49805,122.008,3.92E-16
1.44642,2.4524,119.843,5.72E-17
1.449,2.41362,117.34,1.02E-17
1.45118,2.38026,114.659,2.16E-18
1.45304,2.35127,111.897,5.24E-19
1.45464,2.32583,109.12,1.47E-19
1.45602,2.30333,106.371,4.35E-20
1.45723,2.28328,103.677,1.32E-20
1.45829,2.26531,101.054,5.28E-21
1.45922,2.24909,98.511,1.65E-21
